id,name,password,curFoudrisingAmount,closedFoundrisingAmount,fund_balance,income_history,outcome_history,volunteer_amount
605,"Heller, Farrell and Hermann",ThtUI7C4,79,17,$4273308.60,$5.87,$1.92,99
606,"West, Champlin and Hermann",o6xan3FZ,45,35,$3373215.33,$6.76,$2.28,84
607,Armstrong and Sons,SbXMWuBU,31,46,$153969.10,$2.89,$1.89,1
608,Ullrich-Dickinson,FZoIbMKD,71,55,$3097847.41,$0.61,$6.76,10
609,Doyle LLC,ylmi6HU7vCmn,65,23,$2633770.58,$1.97,$3.53,12
610,Predovic Inc,okULvTMMT,5,41,$8042608.86,$4.10,$6.99,97
611,Ward LLC,gdb3jPkczf,53,18,$7141695.88,$3.57,$2.27,39
612,"Ritchie, Brakus and Effertz",L0Xfj233,26,41,$7863825.15,$1.68,$1.19,7
613,Cassin-O'Connell,uu5s8pQCi2zr,56,76,$212587.26,$0.85,$6.70,53
614,Kerluke and Sons,1IVCv4,20,93,$3627538.09,$1.72,$8.33,7
615,Jaskolski-Ortiz,zRXz73hv,13,20,$3769466.36,$2.05,$1.35,90
616,Dach Group,28Mr4L9pZ,92,79,$2614871.17,$3.66,$5.01,69
617,Howe-Batz,Z2EqWS9jt,59,27,$6966904.09,$3.64,$2.98,58
618,Kuhn and Sons,qcxoSxnK,92,40,$4194344.08,$9.48,$8.57,81
619,"Altenwerth, Heller and Sipes",IAqEwgk,4,43,$7423923.21,$4.89,$9.94,13
620,Mosciski Inc,734GddM,80,80,$6214819.75,$0.79,$9.58,42
621,"Davis, Bednar and Jaskolski",o4VXv0zJeF1,52,30,$6509991.99,$1.68,$3.89,71
622,Moore-Pagac,wRvRJjN,44,15,$8129340.19,$0.98,$0.41,73
623,McCullough-Runolfsson,wOLVoAT,90,61,$1385857.17,$0.31,$4.61,67
624,Lehner Group,0zUjYxM,61,20,$8996940.75,$7.39,$5.22,22
625,"Mosciski, Heathcote and Koelpin",D5AOyyYdtds,61,77,$1333991.38,$8.28,$0.47,51
626,"Will, Hudson and Swift",MHjCwXdh,18,25,$2547546.65,$6.31,$2.43,98
627,Murphy LLC,cYYCRVp7BLRE,57,91,$7726616.97,$3.81,$1.32,28
628,Kreiger LLC,8yvtcR0UkbA,58,86,$8395809.86,$1.21,$1.96,55
629,"Wiegand, D'Amore and Braun",QIYnLjJlF,48,1,$5759043.17,$2.83,$4.69,84
630,"Stoltenberg, Terry and Dooley",hsQhjJqZeQ9,66,73,$3672771.58,$9.58,$2.54,6
631,Homenick LLC,b5iJctxk,99,19,$3782577.08,$0.02,$5.53,24
632,"Hamill, Connelly and Wisoky",vBp8Jb,46,47,$8672901.80,$0.13,$4.47,98
633,Parisian-Ward,Y0DoMj51,14,59,$7139344.15,$0.17,$9.42,60
634,Brown Group,tbSEs9q,93,81,$4479908.25,$8.60,$1.25,68
635,Jerde-Hintz,z9MX8B,4,4,$1669575.31,$2.01,$9.37,5
636,"Tromp, Dickens and Koelpin",lNmAFm0byj4j,62,4,$3269732.29,$6.09,$2.22,7
637,Hammes and Sons,nZQW41u9894,19,75,$4677675.82,$0.80,$0.21,88
638,Heaney LLC,tefDlxj,76,88,$8064030.84,$7.62,$9.35,59
639,Schuppe-Rolfson,IuBant,13,27,$3042080.00,$1.92,$9.53,92
640,Heller LLC,Cv1o2HID,59,60,$6698438.93,$9.95,$4.52,1
641,Yost-Bins,vourMOL2EGCU,48,69,$5526999.94,$5.01,$6.33,25
642,Cormier LLC,eBhFHBNkyo,36,27,$4871467.42,$6.85,$8.26,13
643,Auer LLC,hAA0M3ZC,68,95,$2698102.50,$0.94,$2.26,4
644,Shanahan Group,YmbrVM9O,1,43,$2696573.70,$6.14,$4.01,16
645,Crooks and Sons,Vf7m03g,16,31,$4440908.24,$3.18,$7.19,27
646,Flatley-Terry,gwMYKKn,12,16,$8394742.78,$9.88,$0.52,86
647,"White, Fahey and Quitzon",Z7YQ2G5tC4e,58,8,$95351.72,$9.27,$7.20,50
648,Emmerich-Wilkinson,HDHsqT,76,84,$2448477.50,$8.79,$2.27,79
649,Runolfsdottir Group,dQs2UJTz,61,81,$4577098.66,$8.35,$0.45,37
650,"Bradtke, Friesen and Jenkins",44BD1e1PuKuy,3,71,$1375959.24,$6.46,$5.62,46
651,Lueilwitz-Rice,2Fx7Lb0T7U5,92,29,$2873278.81,$5.61,$4.49,46
652,"Swift, Kilback and Funk",sFxrfQGm,13,100,$6795495.34,$5.40,$0.74,39
653,"Friesen, Cormier and Hamill",Ilz2AUX,4,64,$5487718.65,$8.68,$4.13,84
654,Hartmann-Bogan,Izhh66,0,1,$5993941.29,$5.70,$3.43,88
655,Von-Hackett,KIXGsCxSYv,70,52,$4770599.84,$4.36,$3.87,54
656,Dietrich Group,zvyS3EbY,61,72,$1784965.31,$3.67,$8.05,40
657,VonRueden-Crist,ua32n0xP3x2E,16,18,$7158177.58,$2.51,$9.40,58
658,"Wiegand, Johnston and Windler",yb7l44JPs,84,34,$4219073.98,$7.25,$7.90,43
659,Powlowski Group,vi0vqGNdtPYF,99,47,$286242.44,$5.29,$8.45,99
660,"Schoen, Conn and Farrell",OTUCRDEByC,27,73,$7188405.25,$8.82,$5.72,0
661,"Little, Waters and Aufderhar",4bC9Pkngb04v,49,39,$5062907.83,$6.30,$1.05,4
662,Quigley Group,pRU6zOtnVgQ,21,5,$6510633.67,$3.23,$6.13,50
663,Strosin-Zieme,TgaNalXiWxQt,71,38,$3060771.98,$5.78,$2.40,56
664,Trantow and Sons,JJaUOdMiV,7,42,$2931480.68,$9.76,$6.34,90
665,Thompson and Sons,rhBDw66dt,13,4,$1778068.56,$8.73,$0.79,16
666,Smitham-Wilderman,tHCQHfMm1aR,28,7,$6721540.76,$6.51,$5.32,79
667,"Raynor, Toy and Waelchi",VLJowcXgF3e1,39,64,$3110990.14,$3.32,$6.13,100
668,"Barrows, MacGyver and Hettinger",UoPTugQ7z,53,60,$6622446.62,$2.75,$4.14,69
669,Homenick Inc,zCWebFHx4f,73,68,$6822417.03,$9.99,$2.47,58
670,"Dicki, Wiza and McClure",Yzkd7JbuFCY,78,66,$452844.89,$7.50,$0.32,81
671,"Swift, Kuhn and Schoen",GkOjaKO8bHS,27,98,$8534540.09,$1.16,$4.77,54
672,Ledner-Wiza,5qQkCPJ,50,6,$6150380.32,$8.80,$4.21,80
673,"Little, Osinski and Bechtelar",5r039go5NU64,8,59,$694248.77,$9.81,$0.39,42
674,"Smith, Johns and Hudson",LTonT4EKGCS,93,95,$1551805.24,$9.29,$0.05,65
675,Klocko Group,M46f2c,96,5,$5222617.70,$3.04,$4.76,85
676,Terry Inc,VMz0roi,41,32,$3913654.45,$0.35,$8.14,70
677,Hudson Inc,JuX6LLWsRE,19,56,$3469190.88,$4.59,$1.53,52
678,Grimes-Fisher,rYRptDc0K,38,10,$729149.77,$1.03,$9.06,33
679,"Stamm, Swift and Champlin",hC6O9p,14,42,$6311067.88,$3.41,$1.08,33
680,Ziemann-Gleichner,135lgeV,21,27,$627435.96,$1.66,$1.05,51
681,Balistreri-Schamberger,DxfIMl,48,11,$6524501.13,$0.60,$8.06,30
682,Kling-Pagac,ex9IAxUgbTd1,0,56,$1169561.39,$0.18,$1.06,69
683,Hirthe-Morissette,DV3Sbcx9Ef,41,81,$2060108.59,$5.42,$7.03,0
684,Trantow-Predovic,rullPYoY3j0,31,98,$6114236.80,$6.87,$4.75,98
685,Jast and Sons,YiBm0SVTtRU,86,10,$5417831.03,$8.39,$9.17,87
686,Stoltenberg-Emmerich,ZWHGfL4ZoVOb,85,49,$8674384.18,$4.69,$8.33,31
687,"McGlynn, Bernhard and Turner",I8vjA2HYoAK,98,80,$8451216.14,$8.47,$3.27,54
688,Lindgren LLC,JvkzXM33,76,96,$7582086.94,$6.77,$9.76,52
689,Klocko and Sons,VgFmEjH,73,54,$7280431.43,$5.01,$9.08,58
690,"Daniel, Cronin and Gibson",0uTeS3Xk9oaE,20,93,$3432068.65,$0.36,$2.70,33
691,"Lubowitz, Rice and Kautzer",l1eicacGAyQM,52,95,$3041892.13,$0.47,$0.55,43
692,Stehr Group,Fapb2aHUO1,22,80,$4735461.68,$8.14,$2.13,97
693,Kunze-Bins,9aS5cbu,5,89,$5936073.82,$7.00,$0.52,87
694,Stokes and Sons,jBkIu1jJ0H,87,95,$1930989.18,$7.02,$1.91,89
695,"Stehr, Mante and Kris",s6YeQbqg,38,37,$1929394.89,$6.19,$6.74,37
696,Hagenes-Stokes,A53Hdl86v,0,4,$3506105.54,$9.34,$0.50,92
697,"Emard, Leuschke and Tromp",XqkBM6,14,93,$1150605.35,$6.15,$9.49,83
698,"Bosco, Dietrich and Kunze",jIZo7aWi4a,16,56,$2073686.39,$8.97,$7.94,4
699,Koepp-Gibson,F2SXOaJG,55,77,$4694557.58,$0.85,$7.19,46
700,Torphy-O'Hara,VyZB2AsWt81x,83,17,$8428392.69,$3.23,$0.47,73
701,"Littel, Wisozk and Bechtelar",R2vrlGgGb,16,2,$8079343.40,$9.98,$9.77,10
702,"Swaniawski, Dare and Boyle",9p9gjh,63,13,$4893669.77,$1.40,$3.93,4
703,Thompson-Bergnaum,UE4N2h0ZIXl,26,88,$4200619.15,$2.29,$7.13,43
704,"Ebert, Mertz and Weber",joZlg1PjzE,23,12,$6954457.99,$6.08,$7.15,20
705,"Rogahn, Lockman and Bashirian",BxhpNT,23,31,$6510514.36,$0.88,$2.72,36
706,Hilpert and Sons,CuRgVnR,79,69,$2373588.08,$9.08,$0.58,89
707,Cormier and Sons,rc9A0s,54,48,$4299620.87,$8.06,$6.92,78
708,Klocko and Sons,YvvSKsr2,4,87,$1778737.60,$2.66,$2.12,82
709,"Borer, Hane and Grimes",Wam3JQ0,57,96,$1129852.53,$7.27,$0.53,54
710,Veum-Bradtke,Y4JuoxM,9,15,$8853890.34,$6.44,$1.36,41
711,"Lueilwitz, Hagenes and Schamberger",QSUFv2JO0x,24,77,$7688167.06,$0.44,$5.53,64
712,Kshlerin and Sons,oiHYYNbWJG,19,25,$4290410.99,$9.26,$2.05,58
713,Pacocha Inc,0eP7Z1jm,53,53,$525730.06,$1.66,$2.51,2
714,Torp-Upton,NTVQYyB,72,0,$5559473.33,$4.08,$7.93,49
715,Jacobson-Mayert,eUIjS9hiTR,64,47,$1454723.95,$8.65,$8.45,92
716,"Jacobs, Robel and Hagenes",7612dpF5qf2z,12,43,$5880665.10,$0.34,$5.07,50
717,"O'Hara, Stoltenberg and Harvey",6WlFmQBZr7M9,46,29,$4160674.68,$5.56,$3.77,87
718,"Murazik, Marquardt and Barrows",yWZMf9kSPU3t,36,59,$8520853.25,$1.42,$5.93,82
719,"Gleichner, Gottlieb and Heaney",QnV977Jc1,2,70,$8115837.26,$9.23,$2.50,18
720,"Cormier, Hills and Aufderhar",MlSRnETJ3Sks,16,60,$4135931.88,$2.07,$0.93,49
721,Heidenreich-Morar,NCakoil,33,12,$4716117.42,$3.55,$9.04,32
722,Schuppe Group,1FJovhT,95,30,$3864098.74,$9.50,$3.39,39
723,"Hahn, Upton and Bergstrom",OoZvDwJlo,45,95,$2476728.12,$8.04,$0.62,76
724,"Koss, Kemmer and Mohr",AX1ZxTr4j,80,12,$5901750.14,$5.96,$5.86,38
725,Dach Inc,tC7j3O,95,30,$6416535.45,$8.96,$1.30,66
726,"Pfeffer, Cummings and Kulas",xhIHVJ,20,78,$4147866.78,$4.28,$8.83,60
727,"Osinski, Bayer and Schuster",cEx5eM,67,44,$1085953.75,$2.00,$3.75,67
728,Huel LLC,0ZEmrw,35,22,$4602357.78,$7.50,$2.71,73
729,Streich-Schuppe,gdmMesQrhm,58,18,$6227500.05,$5.74,$6.65,20
730,"Wiegand, Hamill and Mante",DJa3j5H,49,87,$6880781.29,$4.72,$3.62,52
731,Lehner-Dare,oBBU11,24,25,$2178774.28,$1.24,$4.07,75
732,"Shanahan, Barrows and Jerde",x1U30pDF,31,34,$624202.59,$6.27,$5.80,39
733,Volkman LLC,jxecWpzIM,90,95,$7843897.79,$6.83,$3.47,31
734,"Lockman, Luettgen and Sauer",1uP9rXMWJt9,6,43,$3972464.85,$7.34,$3.26,84
735,Leannon-Johns,yEI1PXvuGORr,2,24,$2595226.80,$2.51,$0.37,18
736,Daugherty-Hansen,r7tqpwYKzcg9,60,95,$5528494.85,$7.08,$8.27,69
737,Nitzsche-Hickle,tEg7qAzO,87,94,$717819.05,$9.90,$1.21,62
738,"Rice, Green and Jakubowski",dnJpLrkMXC,24,67,$7175082.68,$3.70,$9.53,32
739,O'Hara-Renner,ORK09Ve0hT8,76,50,$5709577.36,$6.32,$9.42,61
740,Fritsch-Nienow,IghRyrb3Z,77,25,$1879478.12,$7.47,$3.42,12
741,Watsica-Dickens,jD8lYgO0G,25,34,$3276429.13,$0.30,$9.47,45
742,Swift and Sons,vGLwmp,23,77,$7169940.70,$1.15,$0.48,88
743,Hilpert-Gerhold,G6OcCJHjr,72,50,$1930317.08,$1.92,$4.32,10
744,"Crooks, Dooley and Greenfelder",NnqGdq,25,66,$1852709.70,$3.69,$8.35,89
745,"Murphy, O'Reilly and Kutch",ZU6hpXp1,36,87,$8958746.63,$3.32,$3.03,5
746,"Barton, Schuster and Tromp",BWL1W0muJ9d,60,58,$6904611.81,$9.12,$1.51,29
747,Klocko and Sons,2UHm1TVdsN1,72,54,$3742523.34,$2.72,$9.96,46
748,Heathcote LLC,mttAdGCE3BYy,16,27,$4327727.60,$6.50,$9.18,49
749,Johns Group,c9NqAFrd2wTV,45,6,$7310129.65,$4.47,$3.15,22
750,"Wiza, Daugherty and Hyatt",QLFO0j35,29,26,$5218523.44,$3.84,$8.94,76
751,Beier Inc,qInRXQ4jZ,45,47,$8217231.08,$4.62,$5.59,26
752,"Labadie, Feil and Metz",0jCIwCOC3B,73,22,$249230.30,$7.51,$2.51,14
753,Fahey-Kunze,KvNrwal8RXnr,83,80,$4345749.14,$7.98,$0.41,62
754,"Baumbach, Gaylord and Rolfson",LuoRVT,1,38,$7154253.45,$7.26,$8.72,9
755,"Brakus, Goodwin and Ruecker",eh7Eiwtb,48,57,$5435283.34,$1.59,$0.08,54
756,"Rodriguez, Zboncak and Spinka",A58NID8Fp8,67,100,$5741081.12,$2.06,$3.81,62
757,Jones-Crona,XDeG86pW,50,54,$156446.53,$6.58,$9.74,7
758,Schultz Group,dsdBQSCwmp,100,76,$5139736.83,$9.46,$8.59,18
759,Zieme and Sons,ovs26RUb7UNO,24,40,$2861284.58,$8.32,$9.60,26
760,Macejkovic LLC,BwtE9M,21,6,$8671631.77,$4.98,$1.85,64
761,Schuster LLC,AxNeQNl,48,9,$273717.96,$4.72,$6.60,58
762,Carter-Fay,zxo8sJ,6,56,$1010313.41,$9.57,$1.57,74
763,Koss Group,hpnNQhwhlZ,24,65,$1574256.23,$9.99,$3.40,20
764,Feeney-Quigley,BmlXxz5NlW,27,75,$897463.14,$5.79,$9.51,51
765,"Kautzer, Stanton and Konopelski",fDnGna,7,84,$942220.70,$2.59,$1.04,81
766,Mayert-Dibbert,zQivWuwRQSjm,18,93,$833346.40,$5.68,$4.36,15
767,Bogan-Cronin,vr90UIIE,49,41,$3729925.49,$8.01,$6.62,10
768,Beer-Towne,AqiMR5z2jGP9,25,1,$985185.39,$5.30,$3.59,41
769,Hauck Inc,Jl8vnS1cxFsy,68,77,$5352845.84,$0.72,$8.60,89
770,Wiegand-Ritchie,fSEEmGC6oytz,48,11,$7020825.32,$5.26,$9.85,28
771,Legros-Reilly,U5Coy85F,81,90,$261303.34,$7.07,$7.05,72
772,Schoen-O'Keefe,FPFCqgiU,15,26,$1011166.88,$1.77,$0.37,100
773,"Swaniawski, Stehr and Runte",KNW2bDvwfj,25,38,$555305.74,$3.70,$5.57,45
774,"Rutherford, Cruickshank and Boyer",na8R9k6xl,11,67,$1888521.66,$9.40,$4.82,58
775,Bartell Group,fuPG00THV,69,56,$982034.36,$4.74,$9.21,9
776,King LLC,XcuomVH6S,70,6,$7259601.39,$1.92,$2.46,70
777,Koelpin LLC,g6qDNM1Z8,7,36,$58327.69,$8.73,$3.52,85
778,"Adams, Wiegand and Haag",Tt6BYwHDG,48,28,$6958389.43,$5.43,$2.37,55
779,"Schiller, Bartoletti and Lockman",25mnZAxfjJDn,58,76,$6790764.23,$4.85,$8.92,50
780,"Maggio, Zulauf and Ruecker",4a90mC,67,30,$5786683.87,$2.42,$2.71,18
781,Flatley-Hilpert,WDhhgOpkGm,14,41,$5835311.33,$9.07,$9.61,40
782,Swaniawski LLC,UhAa966jE,10,16,$872526.02,$5.73,$4.31,60
783,"Hilll, Hauck and West",u1lzpsyN,37,3,$3079218.76,$5.18,$3.26,48
784,Tromp-Crooks,5tKGeHNF,42,52,$43888.85,$0.91,$5.56,11
785,Rutherford LLC,0bKgVH3r,58,41,$5281758.36,$1.80,$4.21,35
786,Kertzmann-Halvorson,dmOvhxUUwi2,41,13,$7062748.58,$1.50,$0.42,36
787,"Haag, Cummings and Price",rY2D3Q,67,21,$8335481.28,$4.16,$8.05,0
788,Little-Hettinger,aevJDrEdBg,78,100,$4389940.78,$6.44,$1.72,47
789,Wilderman Inc,aaIInjLRo,82,44,$2768730.63,$0.19,$2.25,57
790,Gislason and Sons,jgCFdaTa8,83,66,$2205717.72,$4.05,$7.34,89
791,Lind Inc,NstSLz,4,59,$5479040.49,$5.05,$8.44,12
792,"Kuvalis, Bruen and O'Conner",YGGhXChPhbU,64,57,$1838982.58,$1.73,$7.77,84
793,"Hamill, Rippin and Altenwerth",zPRg6Gvz,6,62,$4752990.57,$2.45,$8.47,15
794,"Howe, Schneider and Ryan",LzxPfK,7,86,$911658.91,$0.87,$0.96,54
795,Christiansen-Leffler,jpMZIwjd,19,80,$3845073.90,$9.82,$7.94,44
796,"Langosh, Langosh and Pollich",BtJnbxASuS,1,75,$3599769.51,$6.98,$8.05,72
797,"Padberg, Gislason and Langworth",Yuv2Jeo2v1kR,49,37,$8394853.95,$1.21,$4.84,22
798,Rice-Heller,aQk5jlmBjr,27,81,$7789392.94,$3.41,$8.34,82
799,Dietrich-Mayert,uwAguRlX298V,28,70,$2809254.88,$7.56,$2.44,35
800,Kuhlman-Terry,ZZpOSQRoZ68,84,81,$1326546.47,$0.56,$4.34,77
801,Ryan and Sons,hN5FS9DbgiUe,53,73,$253841.78,$2.61,$4.01,98
802,"Stiedemann, Gerlach and Denesik",EaI7RC7NzH,54,79,$8024163.63,$1.88,$8.61,16
803,"Bednar, Fahey and Goyette",DNf1ES,80,80,$5692852.36,$6.17,$2.02,62
804,Barton-Hahn,3bPdxD,58,88,$5911549.16,$5.62,$5.53,64
805,"Batz, Rowe and Jenkins",K3VyvKN3,14,28,$1705394.86,$5.16,$6.53,85
806,Streich and Sons,9xo4n9lCuiQ,22,18,$1691052.04,$4.91,$1.46,49
807,Mills-Howell,9DcVFqth,24,49,$8392962.17,$1.23,$7.14,90
808,Ziemann LLC,MvGs0CW,88,27,$5023300.36,$3.29,$5.65,28
809,"Crist, Cole and Lockman",SJY87fsuVA,98,80,$6341348.05,$4.03,$3.78,74
810,Wolf LLC,GYqZCIhXB,46,62,$7841179.59,$9.89,$3.19,11
811,Walter LLC,d2hLhv,13,98,$174536.99,$2.01,$6.84,0
812,Dicki and Sons,Gvgkzf2V,2,97,$6251024.96,$6.18,$4.00,48
813,Collins Inc,U3t8xPG,15,39,$5102230.49,$4.79,$9.65,28
814,Yundt-Russel,DVhNdMh,40,14,$4218768.42,$6.99,$3.89,17
815,Kautzer-Tremblay,lWqYGdTK,61,11,$3352025.21,$9.10,$5.68,49
816,Roberts-Tremblay,j3qrsRM2BtNf,46,9,$4105339.15,$5.37,$0.92,32
817,Kutch Group,JaboUP,56,83,$7383650.73,$0.31,$0.09,78
818,Gorczany-Klocko,8Cm5NZFwT958,97,13,$58662.88,$8.24,$3.57,33
819,Heaney and Sons,WffzpHLvP0l0,74,76,$325267.07,$9.73,$9.25,23
820,Walker-Dickinson,dZdmv7NZE,77,42,$7724347.21,$4.48,$1.65,84
821,Huels and Sons,s3qWawjH,96,18,$613137.89,$9.05,$9.79,55
822,"Fadel, Abbott and Quigley",SY5eGyWo,3,4,$5440743.37,$0.84,$5.34,14
823,"McLaughlin, Murray and Johns",TDqoPpE9u,96,6,$4240107.03,$8.19,$9.33,96
824,"Hansen, Runolfsson and Jast",wIAVRl0F1zDw,63,86,$5429150.48,$7.89,$2.54,64
825,Crist-Vandervort,S3m0IGS,17,91,$8712712.10,$1.83,$7.66,54
826,"Aufderhar, Keebler and Bartell",a3eRHoYK34,80,21,$4469833.89,$7.03,$7.50,82
827,Runte Inc,uPQndpYm3A,8,34,$3660080.64,$6.26,$9.45,54
828,"Deckow, Koch and O'Keefe",QV1q2CtV9u,39,97,$7634867.47,$4.55,$4.49,85
829,"Rice, Yundt and Bailey",fgV2nE1qcOUk,63,47,$3406995.08,$7.59,$2.01,67
830,Glover Group,noomQzOuw,35,30,$4101797.11,$7.44,$9.46,25
831,"Marquardt, Franecki and Becker",7ttqU9eH,62,40,$4837625.12,$6.90,$0.47,73
832,Zulauf-Rohan,yyrKuyBE,51,21,$6869922.42,$3.41,$6.57,0
833,Franecki Group,6bl0Ld,63,8,$340588.16,$9.97,$9.44,41
834,Nitzsche and Sons,stDPQ84SXW,62,4,$6030766.91,$9.87,$6.33,19
835,Jacobi Group,4Q8Za7Wqk,55,65,$8651415.94,$8.71,$5.09,95
836,D'Amore-Erdman,nmo2uIy47JcS,35,40,$5708178.33,$6.23,$7.73,52
837,"Berge, Nienow and Klocko",4pK3TgwpZ,41,24,$6651582.30,$3.36,$1.50,71
838,"Little, Reilly and Beier",ZLJfBqCg,76,59,$8127613.29,$4.49,$6.29,97
839,"Wiegand, Tremblay and Crooks",NerCU4pKzF,38,25,$618613.83,$2.71,$6.52,74
840,Gusikowski-Renner,UNukHopWw,86,35,$5015046.15,$7.80,$3.00,76
841,Dooley Inc,EGShb9,40,30,$5604672.09,$2.60,$6.66,63
842,"Reichert, Brown and Bergnaum",yuOrHq,68,39,$3961844.82,$2.53,$3.60,78
843,"Torphy, Metz and Torp",lTfvQrgx7Dfw,58,6,$3575240.60,$0.34,$5.95,26
844,Lubowitz LLC,I6rFrPa,49,84,$6620761.29,$6.44,$7.63,53
845,Dicki Inc,C0g1p9wlGoh,36,73,$3537214.05,$1.69,$3.68,0
846,"Nienow, O'Hara and Kautzer",EPaEGVVw27,87,37,$3110124.85,$4.48,$0.77,43
847,Altenwerth Group,2sRj8KVkBim,11,31,$3868632.58,$9.77,$3.77,54
848,Jacobson-Crona,JRsFPnDz7,59,84,$2621314.74,$8.41,$3.02,76
849,"Schmidt, White and Frami",ajRNU0w5tRB5,52,63,$6737500.98,$8.32,$7.23,47
850,"Hayes, Stehr and Dach",nUrvkU,64,99,$8136248.85,$4.84,$4.60,100
851,Crooks-Bergstrom,DX0yuUe3g,85,46,$5392323.11,$2.74,$5.33,70
852,Crooks and Sons,d9ZCguhcEaHQ,82,92,$2421162.77,$5.68,$6.80,57
853,Tillman and Sons,yiW3b5,60,68,$2377283.84,$8.56,$3.17,10
854,Lockman Inc,sEwcPsxQzC,93,96,$514023.55,$6.10,$5.97,61
855,Rutherford and Sons,XvIWuk3tVPu,80,31,$8642874.60,$2.97,$5.63,99
856,O'Connell LLC,X3QvQo,66,72,$1206293.86,$7.83,$8.77,41
857,Labadie-Herman,Tv1mH9,73,78,$1863603.55,$9.49,$2.55,54
858,"Berge, Goodwin and Raynor",aHO0qVha,80,73,$6210140.11,$2.86,$2.33,27
859,"Ruecker, Harvey and Erdman",o9hL0S7gBRZ,91,68,$3890733.59,$0.54,$7.77,3
860,Franecki-Greenholt,2eU1JTs1PT,76,12,$8587494.65,$2.03,$5.64,93
861,Emmerich-Rempel,BaAn11DZucJ,33,5,$7469484.27,$9.65,$0.21,82
862,"Schulist, Pfeffer and Toy",sk8mcJ,73,15,$5480998.72,$5.46,$3.84,23
863,Jacobs-Moore,2RQgmC7IfJ,32,4,$7077105.60,$6.12,$5.15,46
864,Wyman-Vandervort,vmZDbJ0,68,2,$4043723.71,$9.97,$4.81,6
865,Spencer-Legros,IRRqoPRBvNP,14,79,$2964467.01,$3.66,$9.92,70
866,Lowe Inc,5A1CAHO,41,46,$3946019.18,$4.63,$3.99,36
867,"Bayer, Harber and Hoppe",6nb8GhdxCRHf,97,100,$7283132.15,$0.82,$7.71,23
868,Bode-Ernser,WaylsySe,41,72,$7876782.71,$8.39,$9.98,5
869,Harber Inc,OzMgmj,11,76,$8928986.35,$3.61,$5.38,74
870,"O'Kon, Block and Altenwerth",NVRpiGSLmyfS,60,26,$2549246.14,$6.18,$5.40,5
871,"Krajcik, Turcotte and Dietrich",YMHp5MQw,67,21,$6601539.46,$1.93,$2.88,87
872,"Leuschke, Gerlach and Erdman",h0zmUL3Pqbx,48,58,$3906963.34,$6.32,$9.25,40
873,Cormier Inc,aXzESKQsr,52,77,$6574283.79,$8.64,$6.89,20
874,O'Connell Inc,tr9iZiBG7nZ,30,61,$2812634.56,$3.43,$2.21,57
875,Turcotte-Becker,FAKvDUDkmn,51,78,$5719226.72,$2.12,$9.84,65
876,"Heathcote, Haley and Auer",RqI1FZ,44,76,$5485405.89,$1.26,$6.41,60
877,O'Connell Inc,cBz4mLoYwU,25,30,$1709892.32,$5.71,$5.11,61
878,Langworth-Ryan,9JMFw2PmrB1,29,48,$3162193.18,$9.09,$4.77,68
879,Abernathy-Larkin,pGeTf6,8,19,$1448193.86,$7.40,$8.48,20
880,"Johnston, Frami and Pfannerstill",f5YqbjnOPnI4,47,76,$2133533.07,$3.51,$0.66,99
881,Schroeder and Sons,1CXebtYTC,8,90,$7579874.60,$1.03,$9.66,24
882,Leffler-Hyatt,6stQQibfk,15,15,$1057836.09,$8.88,$8.94,75
883,Satterfield-Collier,mz7OAPqFIIC,40,80,$6968784.93,$9.86,$6.93,88
884,Schinner and Sons,ECAqyhPRMf,97,63,$667103.42,$3.53,$2.93,35
885,Bogisich Inc,cVXtUKJvaHM,90,7,$5607435.44,$9.45,$1.09,88
886,"Stoltenberg, Ferry and McCullough",7BKLlKiXR,23,50,$4333953.64,$9.75,$0.84,11
887,Schmeler-Fadel,98UsqeHudfNo,33,28,$7800349.66,$8.94,$7.21,83
888,Buckridge-Hyatt,K9azyxIZiBh,49,75,$6982284.88,$0.08,$2.51,54
889,Towne-Schmeler,FeDDwgJtX,99,50,$4425376.74,$3.75,$0.48,58
890,Abshire-Walter,w4XC1vO,0,84,$5627742.89,$7.68,$4.67,76
891,"Paucek, Ward and Walker",osdaktj,45,9,$63490.50,$6.52,$1.57,64
892,Mertz Inc,YlKqn8dq,26,40,$4875605.74,$1.56,$6.61,95
893,Lindgren-Gerlach,Xtec1nrbQXQ,59,7,$4934869.94,$4.15,$1.19,85
894,Brakus and Sons,l0q9atMIz7,47,48,$2427907.48,$6.63,$3.27,6
895,Kiehn-Prosacco,RgFjxGjB,86,0,$8857911.93,$5.19,$9.34,15
896,"Reichel, Corkery and Cormier",586bFfNwqXFi,100,89,$1527010.34,$7.54,$3.78,86
897,Hammes-Heidenreich,K3SBhPSAOzQx,92,19,$7911861.87,$9.74,$1.43,35
898,Bashirian and Sons,iZ3iWs,81,68,$8448554.32,$3.90,$2.25,52
899,Skiles LLC,JendpKRTepuj,24,7,$6767853.91,$3.55,$6.19,22
900,"Denesik, DuBuque and Kautzer",RhUboQwG9d,5,41,$6444626.56,$8.10,$1.22,45
901,Bailey Group,hLrFdiV,62,72,$8120696.68,$9.62,$9.80,34
902,"Armstrong, Feil and Collins",XBZuVb,76,15,$8507184.88,$7.50,$8.26,92
903,Conn-Wolf,aFfms5B3SgkM,41,93,$249200.18,$9.50,$3.45,25
